CustomerKey,City,StateProvinceName,EnglishCountryRegionName,TotalOrders,TotalSales,AvgOrderValue,DaysSinceLastOrder
11309,Beaverton,Oregon,United States,2,42.28,14.0933,4173
11310,San Francisco,California,United States,2,77.27,19.3175,4185
11311,Lynnwood,Washington,United States,2,77.27,19.3175,4287
11312,Lynnwood,Washington,United States,2,42.28,14.0933,4390
11313,Port Orchard,Washington,United States,2,44.57,11.1425,4213
11314,Issaquah,Washington,United States,2,47.53,11.8825,4206
11315,Port Orchard,Washington,United States,2,42.28,14.0933,4192
11316,Langford,British Columbia,Canada,1,2349.98,1174.99,4531
11317,Salem,Oregon,United States,2,5873.26,2936.63,4494
11318,Edmonds,Washington,United States,2,44.57,11.1425,4231
11319,Oakland,California,United States,2,5930.23,1482.5575,4488
11320,Glendale,California,United States,2,72.21,14.442,4312
11321,Burien,Washington,United States,2,37.29,18.645,4395
11322,Bremerton,Washington,United States,2,44.57,11.1425,4402
11323,Daly City,California,United States,2,6074.54,1012.4233,4513
11324,Glendale,California,United States,2,5945.23,1486.3075,4507
11325,Seattle,Washington,United States,2,6044.2,863.4571,4512
11326,Beverly Hills,California,United States,2,5948.24,1189.648,4492
11327,Burbank,California,United States,2,5915.54,1183.108,4511
11328,Newton,British Columbia,Canada,2,4718.04,1179.51,4446
11329,Concord,California,United States,2,5898.26,2949.13,4502
11330,Oak Bay,British Columbia,Canada,27,1136.35,19.9359,4156
11331,Shawnee,British Columbia,Canada,27,1329.31,22.9191,4154
11332,Berlin,Nordrhein-Westfalen,Germany,2,5754.97,1918.3233,4537
11333,Newcastle upon Tyne,England,United Kingdom,3,8163.31,1360.5516,4348
11334,Stoke-on-Trent,England,United Kingdom,3,8154.02,1359.0033,4335
11335,Hof,Bayern,Germany,2,5744.25,1436.0625,4539
11336,Paris,Seine (Paris),France,2,4441.3796,888.2759,4538
11337,Watford,England,United Kingdom,3,8162,1020.25,4343
11338,Bonn,Nordrhein-Westfalen,Germany,2,5744.95,1148.99,4544
11339,Paris,Seine (Paris),France,2,4379.0782,1459.6927,4518
11340,Paris,Seine (Paris),France,2,4413.0582,882.6116,4541
11341,Cheltenham,England,United Kingdom,3,8192,1024,4343
11342,Boulogne-sur-Mer,Pas de Calais,France,1,48.97,16.3233,4350
11343,Oxon,England,United Kingdom,3,8221.99,913.5544,4338
11344,Oxford,England,United Kingdom,3,8119.81,1159.9728,4339
11345,Tremblay-en-France,Seine Saint Denis,France,2,4404.0882,1468.0294,4543
11346,Paris,Seine (Paris),France,2,4503.0482,643.2926,4501
11347,Braunschweig,Nordrhein-Westfalen,Germany,1,13.98,6.99,4468
11348,Paderborn,Hamburg,Germany,1,67.97,22.6566,4453
11349,München,Hessen,Germany,1,67.97,22.6566,4165
11350,Peterborough,England,United Kingdom,1,38.47,12.8233,4507
11351,London,England,United Kingdom,3,8068.03,1613.606,4303
11352,Pantin,Seine Saint Denis,France,1,13.98,6.99,4422
11353,Warrington,England,United Kingdom,3,8078.02,1346.3366,4323
11354,Grevenbroich,Bayern,Germany,1,22.97,7.6566,4206
11355,Wokingham,England,United Kingdom,1,13.98,6.99,4274
11356,Lavender Bay,New South Wales,Australia,3,5069.29,633.6612,4239
11357,Caloundra,Queensland,Australia,3,4943.8,988.76,4241
11358,Coffs Harbour,New South Wales,Australia,3,5034.78,629.3475,4225
11359,Malabar,New South Wales,Australia,3,4960.07,620.0087,4205
11360,Rockhampton,Queensland,Australia,3,5025.8,837.6333,4187
11361,Newcastle,New South Wales,Australia,2,114.96,28.74,4215
11362,Cranbourne,Victoria,Australia,2,77.27,25.7566,4276
11363,Melbourne,Victoria,Australia,3,5035.81,1007.162,4191
11364,Geelong,Victoria,Australia,3,4921.82,1230.455,4183
11365,Findon,South Australia,Australia,3,5024.79,717.8271,4187
11366,Seaford,Victoria,Australia,2,77.27,25.7566,4316
11367,North Sydney,New South Wales,Australia,2,86.26,21.565,4214
11368,Rockhampton,Queensland,Australia,3,5106.24,464.2036,4208
11369,Findon,South Australia,Australia,2,118.96,29.74,4182
11370,South Melbourne,Victoria,Australia,2,79.97,26.6566,4269
11371,Rockhampton,Queensland,Australia,2,74.98,37.49,4181
11372,Brisbane,Queensland,Australia,3,4965.81,993.162,4195
11373,Salzgitter,Hessen,Germany,1,38.47,12.8233,4304
11374,Werne,Nordrhein-Westfalen,Germany,1,68.97,22.99,4438
11375,High Wycombe,England,United Kingdom,1,13.98,6.99,4253
11376,Liverpool,England,United Kingdom,1,78.48,39.24,4255
11377,Solingen,Nordrhein-Westfalen,Germany,1,83.97,27.99,4484
11378,Metz,Moselle,France,2,4436.3896,1109.0974,4498
11379,Boulogne-Billancourt,Hauts de Seine,France,2,4426.0582,1106.5145,4486
11380,Saarlouis,Saarland,Germany,2,5837.91,972.985,4509
11381,London,England,United Kingdom,3,8161.02,1632.204,4313
11382,Roubaix,Nord,France,2,4344.0882,2172.0441,4496
11383,Roissy en Brie,Seine et Marne,France,1,48.97,16.3233,4177
11384,Les Ulis,Essonne,France,1,48.97,16.3233,4329
11385,York,England,United Kingdom,1,13.98,6.99,4356
11386,Darmstadt,Hessen,Germany,1,68.97,22.99,4237
11387,Gateshead,England,United Kingdom,3,6958.8,1159.8,4452
11388,York,England,United Kingdom,3,6986.75,998.1071,4427
11389,Duesseldorf,Hessen,Germany,1,68.97,22.99,4222
11390,Saint Germain en Laye,Yveline,France,1,48.97,16.3233,4232
11391,Salzgitter,Hessen,Germany,1,33.98,16.99,4244
11392,Frankfurt,Hessen,Germany,1,28.99,28.99,4455
11393,Saint Ouen,Loir et Cher,France,1,13.98,6.99,4346
11394,Milton Keynes,England,United Kingdom,3,8161.97,1165.9957,4329
11395,Frankfurt,Bayern,Germany,2,5729.97,1909.99,4492
11396,Saarlouis,Saarland,Germany,1,28.99,28.99,4244
11397,Paris,Seine (Paris),France,1,38.47,12.8233,4355
11398,Newcastle upon Tyne,England,United Kingdom,3,8114.04,2028.51,4329
11399,Paris,Seine (Paris),France,1,13.98,6.99,4440
11400,London,England,United Kingdom,3,6967.78,870.9725,4343
11401,Paris,Seine (Paris),France,3,5020.8696,836.8116,4476
11402,Orleans,Loiret,France,3,5059.3296,505.9329,4451
11403,Saint Ouen,Charente-Maritime,France,3,5033.1396,559.2377,4395
11404,Kassel,Hessen,Germany,1,33.98,16.99,4502
11405,Bonn,Hamburg,Germany,1,53.99,53.99,4453
11406,Paris,Seine (Paris),France,2,4415.0382,735.8397,4503
11407,Münster,Saarland,Germany,1,53.99,53.99,4369
11408,London,England,United Kingdom,1,34.47,11.49,4479
11409,Saint Germain en Laye,Yveline,France,2,4444.0682,888.8136,4515
11410,Paris,Seine (Paris),France,2,4464.0682,892.8136,4508
11411,Ingolstadt,Bayern,Germany,1,38.47,12.8233,4327
11412,Ingolstadt,Bayern,Germany,4,9879.96,898.1781,4259
11413,Gateshead,England,United Kingdom,4,7189.75,653.6136,4295
11414,Kirkby,England,United Kingdom,4,7191.77,719.177,4285
11415,Darmstadt,Hessen,Germany,1,13.98,6.99,4315
11416,Croix,Nord,France,3,4928.0582,985.6116,4418
11417,Pantin,Seine Saint Denis,France,7,11248.4582,661.674,4194
11418,Paderborn,Nordrhein-Westfalen,Germany,1,39.98,19.99,4192
11419,Watford,England,United Kingdom,2,231.75,38.625,4365
11420,Roubaix,Nord,France,7,11200.7696,658.8688,4210
11421,Offenbach,Saarland,Germany,4,9780.04,2445.01,4261
11422,Liverpool,England,United Kingdom,4,7075.27,707.527,4236
11423,Hamburg,Hamburg,Germany,4,9904.97,990.497,4250
11424,Berlin,Saarland,Germany,1,43.98,21.99,4432
11425,Metz,Moselle,France,6,10528.6282,701.9085,4188
11426,Braunschweig,Nordrhein-Westfalen,Germany,1,34.99,34.99,4444
11427,Kiel,Saarland,Germany,4,9917.99,1101.9988,4250
11428,Poing,Saarland,Germany,4,9954.26,829.5216,4248
11429,Sèvres,Hauts de Seine,France,6,10468.3796,615.787,4185
11430,Bottrop,Nordrhein-Westfalen,Germany,1,84.98,42.49,4465
11431,Hof,Bayern,Germany,4,9912.98,901.18,4270
11432,Roissy en Brie,Seine et Marne,France,6,9330.1996,583.1374,4184
11433,Tremblay-en-France,Seine Saint Denis,France,6,12909.6682,1075.8056,4286
11434,West Sussex,England,United Kingdom,2,70.46,17.615,4347
11435,Kiel,Saarland,Germany,1,34.99,34.99,4174
11436,Watford,England,United Kingdom,2,81.76,20.44,4373
11437,Villeneuve-d'Ascq,Nord,France,1,53.99,53.99,4190
11438,Werne,Nordrhein-Westfalen,Germany,1,34.99,34.99,4507
11439,Paris La Defense,Hauts de Seine,France,6,12489.1696,892.0835,4250
11440,Lille,Nord,France,1,78.48,39.24,4457
